x,y,age,gender
13.58801,11.0956,0,1
9.878124,12.55918,4,1
13.16265,12.96319,4,1
13.80617,8.889046,2,1
13.10214,10.56081,4,1
11.12639,9.643859,4,1
12.34107,11.48214,4,1
10.58664,11.86681,0,1
14.56957,10.57711,0,1
9.511439,10.67225,5,1
15.03486,10.19459,5,1
10.87104,9.823215,4,1
12.19227,10.38389,2,1
10.97379,11.85359,5,1
13.50803,13.34022,0,1
10.80653,11.66098,4,1
13.89933,13.98826,2,1
15.74902,12.65131,2,1
12.98866,10.1677,0,1
9.847669,12.53263,4,1
12.54032,13.41382,5,1
15.77734,12.17214,5,1
11.01652,9.782825,4,1
11.68324,13.5818,2,1
11.54616,12.27906,3,1
11.79539,15.07723,2,1
14.63834,12.92149,0,1
9.224811,10.83608,0,1
11.17129,14.73371,0,1
10.80275,9.933474,1,1
16.06981,14.11234,0,1
10.38257,10.56815,1,1
15.80461,13.92831,3,1
12.17318,11.80932,5,1
15.40609,11.19265,5,1
10.1881,11.91827,0,1
14.11088,10.56043,5,1
11.70552,10.36466,2,1
14.36912,12.55025,4,1
13.17116,12.932,5,1
12.65285,11.26382,0,1
13.55442,13.17523,2,1
15.43982,13.27819,3,1
14.84585,14.86907,3,1
10.27732,11.36702,5,1
9.933102,12.30593,0,1
14.15951,9.238947,0,1
13.61841,12.54927,0,1
14.95599,9.839847,0,1
10.56304,11.58176,5,1
13.39306,13.03761,3,1
16.80886,11.42717,1,1
14.71134,11.91757,5,1
10.31367,11.38647,4,1
15.19022,9.974836,5,1
8.436085,7.393596,4,1
15.34814,9.820333,3,1
13.31339,12.3789,3,1
12.55331,11.54684,3,1
13.89099,10.95253,0,1
13.49273,12.51423,1,1
15.24806,16.97276,5,1
11.58812,11.09262,5,1
9.442908,10.76749,0,1
11.36395,9.602994,2,1
11.15694,14.775,1,1
11.89653,10.2304,5,1
15.01308,10.21483,0,1
13.61045,11.49483,3,1
14.1069,13.60306,4,1
10.46296,11.20981,3,1
13.83545,8.909176,0,1
13.22668,12.33923,3,1
13.24604,10.51404,3,1
14.62721,11.42144,3,1
14.38883,10.29258,5,1
15.02184,14.11212,0,1
16.04067,14.35417,0,1
14.50837,11.50046,5,1
10.55035,11.602,5,1
11.57369,11.1289,1,1
10.6587,11.67938,5,1
13.40605,13.28477,5,1
15.53659,12.76087,5,1
13.39872,12.45665,5,1
14.57784,16.18932,4,1
15.32621,13.43324,5,1
14.47304,8.777501,0,1
11.39957,9.887847,4,1
12.48731,11.17735,2,1
13.78123,11.1606,0,1
10.53582,11.01035,0,1
13.34694,11.97577,2,1
10.43855,11.80709,0,1
10.64479,9.882927,5,1
13.12517,11.13206,0,1
12.9097,11.73742,4,1
12.17253,9.965585,0,1
12.44094,11.28124,5,1
11.9171,10.20203,0,1
11.65302,13.57026,5,1
12.45562,11.50935,4,1
14.77868,12.31298,5,1
9.217884,12.33342,4,1
10.39745,11.306,5,1
12.74603,9.155196,5,1
9.105901,6.343998,4,1
11.18297,11.41759,5,1
12.7135,11.30091,0,1
12.68321,11.28437,3,1
13.62292,13.38845,3,1
13.60953,13.42772,5,1
13.60802,9.07513,2,1
12.47179,13.01132,4,1
9.870624,12.40407,5,1
11.10299,11.11242,0,1
13.7408,10.07836,2,1
11.67779,11.12924,0,1
12.29844,11.88042,5,1
11.53711,12.58766,0,1
11.04585,11.23151,3,1
15.77554,13.98787,5,1
12.31552,11.51159,5,1
15.9603,9.162499,3,1
15.55098,11.28022,5,1
9.579331,11.78081,2,1
9.262066,10.66323,4,1
13.78464,13.81561,0,1
13.75736,13.79555,3,1
14.14686,12.42262,4,1
10.9726,11.34485,1,1
12.36505,10.48427,5,1
10.45107,11.77685,0,1
11.01349,11.211,0,1
13.38261,9.455654,1,1
10.33884,11.39608,5,1
11.45123,11.4183,0,1
12.74049,10.73864,0,1
12.31692,14.83151,3,1
13.06382,13.85009,4,1
12.92922,11.70606,2,1
15.28385,12.10795,1,1
13.01865,11.78975,0,1
12.45943,11.2489,0,1
15.76892,12.95444,1,1
14.03004,13.35564,0,1
12.98116,14.37319,5,1
13.8822,14.63515,5,1
15.09569,10.09361,0,1
13.46457,12.56776,0,1
16.8394,11.6017,5,1
13.90569,14.60172,1,1
13.70339,11.11278,0,1
13.28895,9.631591,0,1
15.6604,12.3693,3,1
10.99125,11.19733,3,1
15.50104,11.11599,5,1
11.70601,9.637946,0,1
12.35546,11.44285,5,1
11.12872,11.52963,4,1
8.325407,7.166975,5,1
15.38694,7.330029,5,1
16.05814,14.31984,5,1
12.3847,13.69473,0,1
12.64394,10.64805,2,1
10.49377,12.87479,3,1
13.97831,12.83293,4,1
13.29801,12.91595,0,1
13.31653,9.643641,5,1
12.74707,10.7125,0,1
13.83759,11.05554,0,1
16.07268,14.29056,4,1
16.284,14.36028,2,1
12.50162,12.06644,3,1
15.65,12.90427,1,1
11.54975,12.56442,5,1
14.21522,12.068,5,1
11.65745,11.17163,0,1
8.771104,10.94251,3,1
11.61652,11.05411,5,1
13.70734,11.29599,0,1
12.74439,12.84671,2,1
9.285564,10.63081,0,1
11.59055,9.53944,4,1
13.1202,12.3159,5,1
13.63869,11.5084,0,1
16.26833,14.38156,5,1
8.73591,12.05172,1,1
15.74913,12.16057,5,1
12.18563,11.40151,2,1
14.78633,14.09387,0,1
13.45084,8.860812,0,1
15.73667,12.94093,3,1
11.91194,14.17201,5,1
14.3738,13.07674,0,1
12.21672,14.14109,5,1
10.75256,8.843783,1,1
13.22677,11.90959,4,1
13.41574,8.835455,5,1
12.20415,11.37017,5,1
13.58721,11.60537,4,1
8.757473,12.02333,5,1
13.38881,10.9706,0,1
12.52108,12.03208,4,1
12.40901,11.34986,5,1
12.36903,11.4156,5,1
13.44909,12.60106,5,1
14.40612,13.09598,0,1
15.70642,12.9274,0,1
13.75891,11.14193,2,1
11.44538,10.93066,5,1
13.26078,12.96562,5,1
10.93261,12.03151,5,1
12.14729,9.951969,0,1
11.26415,10.80238,5,1
13.42597,12.96798,5,1
12.42551,11.31754,4,1
12.34805,14.77593,5,1
13.10475,12.3512,0,1
9.813148,12.50214,5,1
14.14413,10.57392,3,1
12.03469,14.58466,4,1
12.68321,11.28437,0,1
8.840331,12.13417,5,1
